epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5393,0.53259,2.93659,1.59669,0.66586,0.84453,0.84272,0.83237,0.65164,2.22016,1.19176,0.0801481,9.97585e-05,9.97585e-05
2,116.228,0.4523,2.01178,1.4909,0.83668,0.84753,0.92933,0.92258,0.51214,1.43669,0.93417,0.0602461,0.000197763,0.000197763
3,172.864,0.39012,1.68494,1.41605,0.8423,0.89852,0.95368,0.95267,0.43749,1.28034,0.82026,0.0403421,0.000293769,0.000293769
4,229.574,0.37762,1.48641,1.40913,0.90163,0.93837,0.96197,0.96105,0.47086,1.2211,0.84153,0.0204361,0.000387778,0.000387778
5,286.36,0.3496,1.46257,1.37698,0.93971,0.90961,0.95889,0.95573,0.39671,1.17829,0.7839,0.000528097,0.000479788,0.000479788
6,343.234,0.33851,1.35754,1.37121,0.90471,0.90798,0.96168,0.95898,0.46351,1.13856,0.85716,0.000475025,0.000475025,0.000475025
7,400.189,0.32275,1.27367,1.35678,0.97436,0.91453,0.9733,0.96775,0.38547,0.9121,0.74394,0.00047003,0.00047003,0.00047003
8,457.141,0.3035,1.18112,1.33916,0.953,0.9144,0.97258,0.97156,0.36523,0.89433,0.71711,0.000465035,0.000465035,0.000465035
9,514.063,0.29807,1.15746,1.32853,0.90766,0.94159,0.97483,0.97197,0.36784,0.94139,0.72195,0.00046004,0.00046004,0.00046004
10,571.059,0.28995,1.089,1.31844,0.95328,0.93741,0.97212,0.96661,0.25839,0.7724,0.61287,0.000455045,0.000455045,0.000455045
11,627.933,0.28001,1.06061,1.31487,0.94617,0.9798,0.98759,0.98598,0.35838,0.76425,0.71283,0.00045005,0.00045005,0.00045005
12,684.922,0.27606,1.0471,1.30891,0.94364,0.95472,0.98338,0.97928,0.35001,0.80907,0.68264,0.000445055,0.000445055,0.000445055
13,741.901,0.26246,1.01194,1.29236,0.96565,0.96213,0.98063,0.98028,0.32337,0.71686,0.65818,0.00044006,0.00044006,0.00044006
14,799.045,0.25379,0.94723,1.28733,0.93868,0.97487,0.98754,0.98573,0.26519,0.687,0.58232,0.000435065,0.000435065,0.000435065
15,856.13,0.25928,0.97013,1.29922,0.9684,0.96661,0.98559,0.98436,0.34201,0.67601,0.67443,0.00043007,0.00043007,0.00043007
16,913.493,0.25201,0.98285,1.2953,0.9736,0.95638,0.98586,0.98541,0.32352,0.70367,0.65399,0.000425075,0.000425075,0.000425075
17,970.87,0.24611,0.98192,1.28262,0.96241,0.9637,0.98513,0.9831,0.27598,0.65637,0.63082,0.00042008,0.00042008,0.00042008
18,1028.39,0.23869,0.8637,1.28441,0.97344,0.95893,0.98921,0.98532,0.27649,0.662,0.62206,0.000415085,0.000415085,0.000415085
19,1085.51,0.23924,0.91135,1.29058,0.96466,0.97333,0.98845,0.98684,0.30582,0.65638,0.6527,0.00041009,0.00041009,0.00041009
20,1142.79,0.2318,0.87388,1.27238,0.96751,0.95601,0.97955,0.97896,0.30192,0.69865,0.62582,0.000405095,0.000405095,0.000405095
21,1200.27,0.23499,0.86814,1.27311,0.96223,0.95643,0.98956,0.98546,0.28215,0.66386,0.60931,0.0004001,0.0004001,0.0004001
22,1257.86,0.22359,0.77694,1.26961,0.98539,0.95411,0.98888,0.98772,0.32821,0.67043,0.66011,0.000395105,0.000395105,0.000395105
23,1315.69,0.22291,0.84539,1.26876,0.96602,0.97405,0.98586,0.98549,0.26349,0.61433,0.6021,0.00039011,0.00039011,0.00039011
24,1373.25,0.22122,0.81585,1.26506,0.95262,0.96974,0.98495,0.98353,0.30446,0.70307,0.64299,0.000385115,0.000385115,0.000385115
25,1430.72,0.21527,0.72117,1.26478,0.98313,0.95238,0.98963,0.9876,0.28428,0.7061,0.62,0.00038012,0.00038012,0.00038012
26,1488.27,0.21261,0.75829,1.25729,0.96858,0.9454,0.98788,0.9859,0.2742,0.61118,0.58969,0.000375125,0.000375125,0.000375125
27,1545.91,0.21754,0.83649,1.2622,0.94386,0.98529,0.98947,0.98832,0.246,0.60578,0.5738,0.00037013,0.00037013,0.00037013
28,1603.63,0.20831,0.75028,1.25903,0.95154,0.98272,0.99019,0.98924,0.25439,0.59995,0.58714,0.000365135,0.000365135,0.000365135
29,1661.26,0.21381,0.7227,1.25595,0.95462,0.97182,0.98957,0.98852,0.26314,0.5649,0.58322,0.00036014,0.00036014,0.00036014
30,1718.89,0.20603,0.71991,1.24981,0.95908,0.97724,0.98979,0.98762,0.2508,0.5936,0.58512,0.000355145,0.000355145,0.000355145
31,1776.49,0.20442,0.73384,1.2573,0.93788,0.96134,0.98666,0.98411,0.22271,0.637,0.54972,0.00035015,0.00035015,0.00035015
32,1834.05,0.20354,0.71668,1.24852,0.96034,0.96713,0.98941,0.98745,0.29573,0.64494,0.63321,0.000345155,0.000345155,0.000345155
33,1891.76,0.2005,0.68945,1.24612,0.97405,0.96803,0.9909,0.99035,0.27283,0.58083,0.60175,0.00034016,0.00034016,0.00034016
34,1949.37,0.1946,0.68142,1.2415,0.97029,0.95191,0.98602,0.98549,0.26852,0.65933,0.59913,0.000335165,0.000335165,0.000335165
35,2006.93,0.19546,0.69752,1.24286,0.95926,0.96434,0.989,0.98739,0.26145,0.56096,0.58482,0.00033017,0.00033017,0.00033017
36,2064.78,0.19401,0.71107,1.24684,0.94289,0.96073,0.97723,0.97642,0.24847,0.64669,0.58097,0.000325175,0.000325175,0.000325175
37,2122.67,0.18843,0.69117,1.24533,0.9665,0.97028,0.98455,0.98426,0.2381,0.59465,0.57137,0.00032018,0.00032018,0.00032018
38,2180.45,0.19667,0.67876,1.25316,0.98129,0.96667,0.99002,0.98881,0.24133,0.59233,0.56411,0.000315185,0.000315185,0.000315185
39,2238.31,0.19148,0.6713,1.24801,0.97475,0.96961,0.99071,0.98937,0.26641,0.58764,0.59799,0.00031019,0.00031019,0.00031019
40,2295.95,0.18436,0.64136,1.23934,0.96458,0.97057,0.99056,0.98977,0.25909,0.56543,0.57238,0.000305195,0.000305195,0.000305195
41,2353.5,0.18671,0.62777,1.23423,0.93929,0.98537,0.98998,0.98947,0.26276,0.67285,0.59073,0.0003002,0.0003002,0.0003002
42,2411.29,0.18642,0.61934,1.2403,0.98314,0.95255,0.99017,0.98938,0.24971,0.57135,0.57663,0.000295205,0.000295205,0.000295205
43,2468.77,0.1854,0.63104,1.2422,0.97582,0.97427,0.98802,0.98774,0.27434,0.60816,0.61358,0.00029021,0.00029021,0.00029021
44,2526.74,0.17687,0.6274,1.22786,0.97483,0.97813,0.99146,0.99053,0.27564,0.59808,0.59611,0.000285215,0.000285215,0.000285215
45,2584.4,0.18374,0.61328,1.24464,0.96567,0.97092,0.99125,0.98953,0.24463,0.60911,0.57686,0.00028022,0.00028022,0.00028022
46,2642.1,0.18418,0.62131,1.23805,0.9665,0.95964,0.98839,0.9876,0.2741,0.59626,0.60239,0.000275225,0.000275225,0.000275225
47,2699.93,0.17677,0.57371,1.23142,0.97487,0.95761,0.98803,0.98725,0.23608,0.57309,0.56265,0.00027023,0.00027023,0.00027023
48,2757.95,0.17922,0.60932,1.23194,0.96462,0.97723,0.99152,0.99035,0.2398,0.59013,0.57058,0.000265235,0.000265235,0.000265235
49,2815.81,0.17402,0.5693,1.23292,0.98718,0.95066,0.99112,0.99031,0.26676,0.57514,0.59404,0.00026024,0.00026024,0.00026024
50,2873.58,0.17174,0.55604,1.23102,0.96218,0.9796,0.99168,0.98898,0.2389,0.55602,0.57407,0.000255245,0.000255245,0.000255245
51,2931.02,0.16691,0.58749,1.22837,0.97988,0.97778,0.9917,0.98972,0.20733,0.54801,0.52113,0.00025025,0.00025025,0.00025025
52,2988.76,0.17442,0.57029,1.22709,0.94072,0.97855,0.98516,0.98427,0.23982,0.57644,0.56412,0.000245255,0.000245255,0.000245255
53,3046.54,0.1708,0.58253,1.23444,0.97151,0.95607,0.98974,0.98804,0.20111,0.56755,0.53077,0.00024026,0.00024026,0.00024026
54,3104.14,0.16886,0.5578,1.22786,0.96751,0.96417,0.99052,0.98973,0.2293,0.5475,0.56468,0.000235265,0.000235265,0.000235265
55,3162.21,0.17439,0.58529,1.23237,0.95695,0.98278,0.99126,0.99083,0.23484,0.53456,0.57989,0.00023027,0.00023027,0.00023027
56,3220.96,0.16335,0.55821,1.22291,0.96336,0.96305,0.98842,0.9874,0.22169,0.58175,0.53463,0.000225275,0.000225275,0.000225275
57,3278.79,0.16591,0.55073,1.21713,0.97929,0.96808,0.99148,0.99112,0.2332,0.4956,0.56296,0.00022028,0.00022028,0.00022028
58,3336.31,0.15875,0.54862,1.22493,0.94317,1,0.99151,0.99063,0.25146,0.56344,0.57123,0.000215285,0.000215285,0.000215285
59,3396.42,0.1638,0.53786,1.22801,0.97671,0.97265,0.99252,0.99151,0.22274,0.56042,0.52863,0.00021029,0.00021029,0.00021029
60,3454.56,0.15736,0.51708,1.22351,0.97802,0.96079,0.98955,0.98848,0.24358,0.59683,0.56239,0.000205295,0.000205295,0.000205295
61,3512.14,0.16102,0.51009,1.22148,0.96888,0.97121,0.98942,0.98886,0.23212,0.60824,0.53817,0.0002003,0.0002003,0.0002003
62,3569.77,0.15771,0.51827,1.21686,0.97011,0.98635,0.99066,0.98999,0.2566,0.54588,0.57441,0.000195305,0.000195305,0.000195305
63,3627.53,0.15653,0.51366,1.21442,0.97445,0.95329,0.99285,0.99204,0.27021,0.71928,0.5868,0.00019031,0.00019031,0.00019031
64,3685.91,0.15542,0.51649,1.22726,0.97901,0.96339,0.99201,0.99112,0.23429,0.64775,0.54764,0.000185315,0.000185315,0.000185315
65,3744.34,0.15414,0.4937,1.216,0.97365,0.96416,0.99215,0.99049,0.22649,0.61457,0.54833,0.00018032,0.00018032,0.00018032
66,3801.3,0.15415,0.48521,1.22146,0.97122,0.96576,0.98974,0.98916,0.24156,0.55193,0.56453,0.000175325,0.000175325,0.000175325
67,3858.26,0.15389,0.48999,1.22049,0.97523,0.97447,0.99209,0.99117,0.27924,0.58217,0.60835,0.00017033,0.00017033,0.00017033
68,3915.22,0.15031,0.49092,1.21382,0.98938,0.98153,0.99224,0.99183,0.24965,0.52241,0.56851,0.000165335,0.000165335,0.000165335
69,3971.91,0.14759,0.51125,1.21482,0.98895,0.97421,0.99299,0.99261,0.25535,0.56313,0.56306,0.00016034,0.00016034,0.00016034
70,4028.59,0.1477,0.48907,1.2172,0.96582,0.97982,0.99219,0.98916,0.24185,0.67896,0.56871,0.000155345,0.000155345,0.000155345
71,4084.99,0.15283,0.49578,1.21966,0.98564,0.97357,0.98955,0.98831,0.23475,0.60196,0.55898,0.00015035,0.00015035,0.00015035
72,4141.66,0.14866,0.49313,1.21549,0.98143,0.96633,0.98615,0.98453,0.23903,0.62438,0.55967,0.000145355,0.000145355,0.000145355
73,4198.26,0.14484,0.49961,1.20876,0.97412,0.97812,0.99121,0.99033,0.24885,0.55952,0.57058,0.00014036,0.00014036,0.00014036
74,4254.63,0.14729,0.48532,1.21651,0.97871,0.97355,0.98976,0.9886,0.23177,0.54012,0.5684,0.000135365,0.000135365,0.000135365
75,4311.35,0.1421,0.46122,1.21439,0.98093,0.96921,0.9906,0.99057,0.23379,0.52883,0.55691,0.00013037,0.00013037,0.00013037
76,4367.57,0.1419,0.46391,1.21218,0.97463,0.98744,0.99097,0.99036,0.22086,0.56107,0.53557,0.000125375,0.000125375,0.000125375
77,4423.97,0.14169,0.46638,1.21512,0.97583,0.97294,0.98926,0.98898,0.23736,0.5603,0.55543,0.00012038,0.00012038,0.00012038
78,4481.19,0.13844,0.4386,1.20999,0.98232,0.96325,0.9883,0.98789,0.23502,0.56192,0.55306,0.000115385,0.000115385,0.000115385
79,4539.03,0.13791,0.44173,1.2144,0.97875,0.97944,0.99078,0.9904,0.2471,0.53355,0.5633,0.00011039,0.00011039,0.00011039
80,4596.39,0.13938,0.45789,1.21019,0.98468,0.98544,0.99044,0.98993,0.26051,0.55112,0.58428,0.000105395,0.000105395,0.000105395
81,4654.27,0.13769,0.44349,1.20842,0.98543,0.97467,0.99069,0.98972,0.23538,0.60985,0.56233,0.0001004,0.0001004,0.0001004
82,4712.44,0.13422,0.43831,1.21039,0.97832,0.98625,0.99151,0.99075,0.22119,0.54294,0.54011,9.5405e-05,9.5405e-05,9.5405e-05
83,4770.43,0.13436,0.44208,1.20911,0.98587,0.98119,0.99224,0.99214,0.22281,0.51124,0.54452,9.041e-05,9.041e-05,9.041e-05
84,4828.21,0.13447,0.45721,1.20527,0.97858,0.97773,0.99079,0.99049,0.2452,0.52039,0.5672,8.5415e-05,8.5415e-05,8.5415e-05
85,4893.13,0.1296,0.43438,1.20785,0.98452,0.98209,0.99091,0.99089,0.23563,0.5279,0.55301,8.042e-05,8.042e-05,8.042e-05
86,4962.86,0.08423,0.18238,1.16655,0.96823,0.99216,0.99286,0.99212,0.24848,0.56653,0.56595,7.5425e-05,7.5425e-05,7.5425e-05
87,5030.96,0.08282,0.17841,1.16665,0.96565,0.99216,0.9921,0.99151,0.25058,0.61021,0.5724,7.043e-05,7.043e-05,7.043e-05
88,5097.28,0.08265,0.17533,1.17058,0.97488,0.9908,0.99319,0.9927,0.22987,0.61833,0.53725,6.5435e-05,6.5435e-05,6.5435e-05
89,5163.78,0.07916,0.17214,1.16804,0.98019,0.97065,0.99189,0.99128,0.2277,0.53737,0.53944,6.044e-05,6.044e-05,6.044e-05
90,5230.52,0.08214,0.17726,1.15702,0.98611,0.97227,0.99223,0.9921,0.2404,0.53556,0.55794,5.5445e-05,5.5445e-05,5.5445e-05
91,5296.31,0.07897,0.16844,1.15757,0.98224,0.97818,0.99279,0.9927,0.21697,0.50314,0.54138,5.045e-05,5.045e-05,5.045e-05
92,5362.58,0.07782,0.16196,1.16108,0.98114,0.9721,0.99216,0.99208,0.22292,0.52461,0.54751,4.5455e-05,4.5455e-05,4.5455e-05
93,5428.67,0.07604,0.16704,1.14603,0.9772,0.9878,0.99251,0.99237,0.21719,0.4934,0.53755,4.046e-05,4.046e-05,4.046e-05
94,5494.82,0.07831,0.17462,1.16453,0.97742,0.9768,0.99279,0.99258,0.22296,0.52012,0.54691,3.5465e-05,3.5465e-05,3.5465e-05
95,5560.59,0.07316,0.15773,1.15563,0.97253,0.98716,0.99287,0.9925,0.21709,0.50453,0.53835,3.047e-05,3.047e-05,3.047e-05
96,5626.1,0.07247,0.1592,1.16323,0.98435,0.98209,0.99335,0.99316,0.20979,0.46914,0.52593,2.5475e-05,2.5475e-05,2.5475e-05
97,5885.54,0.07031,0.15191,1.16212,0.96951,0.99028,0.99256,0.99222,0.21382,0.50375,0.52909,2.048e-05,2.048e-05,2.048e-05
98,5948.66,0.06885,0.14581,1.15222,0.97339,0.98038,0.99226,0.99206,0.21935,0.50687,0.53166,1.5485e-05,1.5485e-05,1.5485e-05
99,6012.1,0.06775,0.14783,1.15014,0.96854,0.98875,0.99219,0.99197,0.21286,0.49953,0.52519,1.049e-05,1.049e-05,1.049e-05
100,6075.69,0.06733,0.14177,1.15699,0.97158,0.98685,0.9923,0.99219,0.21087,0.50068,0.52281,5.495e-06,5.495e-06,5.495e-06
